Year;Country;value
1986;Northern Mariana Islands;-
1998;Northern Mariana Islands;-
2002;Northern Mariana Islands;-
2008;Northern Mariana Islands;-
1989;Northern Mariana Islands;-
2006;Northern Mariana Islands;-
1980;Nigeria;0.371272
1991;Nigeria;0.094805
2001;Niger;0.184374
2005;Philippines;19.664799
2006;Philippines;19.764398
2013;Philippines;37.263395
1997;Philippines;10.23286
1994;Philippines;5.793094
2008;Philippines;24.02036
2009;Philippines;23.68
1986;Poland;322.689354
1985;Poland;310.784847
1984;Poland;296.018689
1995;Pakistan;8.336237
1996;Pakistan;7.793395
2001;Pakistan;7.824505
1994;Pakistan;7.32848
2014;Panama;0.902448
1991;Panama;0.094513
1998;Panama;0.091164
1999;Panama;0.091935
2011;Panama;0.56451
1982;Peru;0.311574
2012;Lithuania;0.67235
2014;Lithuania;0.67235
2014;Latvia;0.278772
2010;Latvia;0.515544
2014;Laos;0.462115
2010;Laos;0.369664
2012;Laos;0.369692
2004;Laos;0.37004
2007;Korea, South;198.972928
2014;Korea, South;276.036902
1987;Korea, South;96.195232
1992;Korea, South;84.960096
1995;Kyrgyzstan;1.112676
2004;Kyrgyzstan;1.955688
1998;Kyrgyzstan;1.774923
2012;Kyrgyzstan;3.75888
1995;Slovakia;22.833465
2011;Kosovo;5.600248
2013;Madagascar;1.024738
2007;Luxembourg;0.27612
2005;Macedonia;5.311075
1999;Macedonia;5.398344
2002;Macedonia;5.240808
2009;Macedonia;5.417995
1992;Macedonia;5.11784
1980;Malawi;0.184582
1998;Puerto Rico;0.368704
2002;Puerto Rico;1.013408
1983;Puerto Rico;0.369556
2006;Puerto Rico;3.591159
2004;Puerto Rico;3.039102
1986;Puerto Rico;0.55365
2013;Portugal;8.514336
2007;Portugal;9.045972
2008;Portugal;7.98183
1985;Romania;37.427748
2011;Romania;30.407937
2010;Russia;384.193698
1997;Russia;401.383872
2008;Russia;412.691496
2003;Romania;26.407836
2001;Romania;24.235092
2007;Russia;381.137484
2010;Senegal;0.645085
2008;Romania;28.39434
1989;Romania;47.141
1994;Portugal;10.398034
1995;Portugal;11.978772
2003;Portugal;10.652048
1986;Portugal;4.434768
2014;Portugal;8.691718
2010;Portugal;5.143904
1990;Portugal;8.741615
1985;Portugal;2.156112
1991;Poland;266.141596
1994;Poland;247.71672
2011;Philippines;27.935302
1987;Philippines;4.019683
1985;Philippines;4.751925
2014;Philippines;40.86953
1980;Philippines;0.62484
1981;Philippines;0.59478
1989;Philippines;4.23486
1991;Peru;0.696038
2013;Peru;2.958144
2011;Peru;2.89974
1983;Luxembourg;0.443236
1981;Luxembourg;0.777924
2011;Luxembourg;0.184532
1991;Luxembourg;0.444128
2009;Luxembourg;0.184324
2002;Kyrgyzstan;1.768216
2011;Kyrgyzstan;2.621388
2010;Kyrgyzstan;2.425644
2003;Kyrgyzstan;2.139023
2009;Kyrgyzstan;2.528037
1996;Kyrgyzstan;1.68291
1991;Hong Kong;24.37812
1984;Hong Kong;8.680155
1998;Greece;27.601965
2014;Kosovo;4.731685
2001;Hong Kong;16.301877
1997;Hong Kong;10.993092
2003;Guatemala;0.973314
2004;Hong Kong;21.734184
2007;Hong Kong;24.957203
2007;Georgia;0.091843
1988;France;63.348115
1992;France;64.517376
2007;France;44.808438
2008;Germany;284.955
2000;Bosnia and Herzegovina;10.99465
2009;Australia;187.50834
1983;Australia;93.258975
2005;Argentina;2.799522
1988;Argentina;3.357376
2012;Argentina;3.320713
1983;Argentina;2.672118
1991;Argentina;2.442832
1999;Argentina;2.52132
2009;Argentina;2.51244
2004;Czech Republic;73.635264
2008;Czech Republic;68.648472
